"Област","Община","Населено място","Район","Име на институцията","Вид на институцията","Вид на институцията - детайлен","Вид на институцията според начина на финансиране"
"София-град","Столична","София","Искър","ДГ №108","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красна поляна","17 СУ ""Дамян Груев""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Красна поляна","28 СУ ""А. Константинов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Красна поляна","57 СУ ""Св. Н. Охридски""","специализирано","спортно","Общинско"
"София-град","Столична","София","Красна поляна","75.ОУ""Т.Каблешков ""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Красна поляна","92 ОУ""Димитър Талев""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Красна поляна","123 СУ ""Стефан Стамболов","неспециализирано","средно","Общинско"
"София-град","Столична","София","Красна поляна","135 СУ ""Ян Амос Коменски""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Красна поляна","147 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Красна поляна","СГХСТ","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Триадица","ЧСУ ""Орфей""","неспециализирано","средно","Частно"
"София-град","Столична","София","Красна поляна","ЧПГИ","неспециализирано","професионална гимназия","Частно"
"София-град","Столична","София","Красна поляна","ДГ№196""Шарл Перо""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красна поляна","ДГ № 169 "" КОЛЕДАРЧЕ ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красна поляна","ДГ № 128""Феникс""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красна поляна","ДГ № 130","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красна поляна","ДГ №126 ""Тинтява""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красна поляна","ДГ №187","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красна поляна","ДГ N 54""ДЪГА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","19 СУ ""Елин Пелин""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Красно село","25 ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Красно село","34 ОУ ""Стою Шишков""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Красно село","36 СУ ""Максим Горки""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Красно село","51 СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Красно село","132. СУ ""Ваня Войнова""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Красно село","142 ОУ ""Веселин Ханчев""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Красно село","203 ПЕГ ""Св. Методий""","неспециализирано","профилирана гимназия","Общинско"
"София-град","Столична","София","Красно село","ЧЕСУ ""Дорис Тенеди""","неспециализирано","средно","Частно"
"София-град","Столична","София","Красно село","ЧПГИТЧЕ ""Евклид""","неспециализирано","средно","Частно"
"София-град","Столична","София","Красно село","ЧДГ 101Защо","детска градина","детска градина","Частно"
"София-град","Столична","София","Красно село","ДГ № 134","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ №107""Бон-бон""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ №67 ""Чучулига""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ № 85","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ №99","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ № 142","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ 124 Бърборино""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ №136","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ № 145","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","Детска градина № 93 "" Чуден с","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ 162 ""Вихрогонче""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ №8 ""Проф.д-р Елка Петрова""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Красно село","ДГ № 80","детска градина","детска градина","Общинско"
"София-град","Столична","София","Кремиковци","85 СУ ""Отец Паисий""","неспециализирано","средно","Общинско"
"София-град","Столична","Горни Богров","Кремиковци","115ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","Яна","Кремиковци","116 ОУ ""Паисий Хилендарски""","неспециализирано","основно","Общинско"
"София-град","Столична","Бухово","Кремиковци","117. СУ","неспециализирано","средно","Общинско"
"София-град","Столична","София","Кремиковци","156-о ОбУ ""В.Левски""","неспециализирано","обединено","Общинско"
"София-град","Столична","София","Кремиковци","159.ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Кремиковци","162 ОбУ ""Отец Паисий""","неспециализирано","обединено","Общинско"
"София-град","Столична","Долни Богров","Кремиковци","ДГ №140 Зорница","детска градина","детска градина","Общинско"
"София-град","Столична","София","Кремиковци","ДГ № 44 ""Калина""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Кремиковци","ДГ №89","детска градина","детска градина","Общинско"
"София-град","Столична","София","Кремиковци","ДГ № 58 ""Слънчево утро""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Кремиковци","ДГ №146","детска градина","детска градина","Общинско"
"София-град","Столична","Бухово","Кремиковци","ДГ № 94 ""Детски свят""","детска градина","детска градина","Общинско"
"София-град","Столична","Горни Богров","Кремиковци","ДГ 147 ""Славейче""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Лозенец","21 СУ ""ХРИСТО БОТЕВ""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Лозенец","35. СЕУ ""Добри Войников""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Лозенец","107. ОУ","неспециализирано","основно","Общинско"
"София-град","Столична","София","Лозенец","120 ОУ ""Г.С.Раковски""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Лозенец","122 ОУ ""Н. Лилиев""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Лозенец","139 ОУ ""Захарий Круша""","неспециализирано","основно","Общинско"
"София-град","Столична","София","Лозенец","НПМГ","неспециализирано","профилирана гимназия","Държавно"
"София-град","Столична","София","Лозенец","ЧДГ ""Д-р П.Берон""","детска градина","детска градина","Частно"
"София-град","Столична","София","Лозенец","ПГО","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Лозенец","СГСАГ ""ХРИСТО БОТЕВ""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Лозенец","НФСГ","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Триадица","ЧПГ ""БАНКЕР""","неспециализирано","професионална гимназия","Частно"
"София-град","Столична","София","Лозенец","ЧОУ ""Д-р Петър Берон""","неспециализирано","основно","Частно"
"София-град","Столична","София","Триадица","ЧОУ Банкерче","неспециализирано","основно","Частно"
"София-град","Столична","София","Лозенец","ДУ СДС ""Св. Иван Рилски""","специализирано","духовно","Държавно"
"София-град","Столична","София","Младост","""ЧСУ Българско школо""","неспециализирано","средно","Частно"
"София-град","Столична","София","Лозенец","ЧСЕУ ""Г.С.Уланова""","неспециализирано","профилирана гимназия","Частно"
"София-град","Столична","София","Лозенец","ЦСОП ""ЛОЗЕНЕЦ""","център за подкрепа за личностно развитие","център за специална образователна подкрепа","Държавно"
"София-град","Столична","София","Лозенец","ЧДГ Тути","детска градина","детска градина","Частно"
"София-град","Столична","София","Илинден","ЧДГ ""Фънки Мънки""","детска градина","детска градина","Частно"
"София-град","Столична","София","Витоша","Частна Детска Градина Патета","детска градина","детска градина","Частно"
"София-град","Столична","София","Витоша","ЧДГ ""Камелини Монтесори""","детска градина","детска градина","Частно"
"София-град","Столична","София","Лозенец","ДГ№175","детска градина","детска градина","Общинско"
"София-град","Столична","София","Лозенец","ЧДГ Кристофър Робин","детска градина","детска градина","Частно"
"София-град","Столична","София","Лозенец","ЧДГ ""Алиса""","детска градина","детска градина","Частно"
"София-град","Столична","София","Лозенец","ЧДГ ""ЖИРАФЧЕ""","детска градина","детска градина","Частно"
"София-град","Столична","София","Младост","ЧДГ Слънчево зайче","детска градина","детска градина","Частно"
"София-град","Столична","София","Лозенец","ЧДГ ""Г.С.Уланова""","детска градина","детска градина","Частно"
"София-град","Столична","София","Лозенец","ЧДГ""Щастливата къща""","детска градина","детска градина","Частно"
"София-град","Столична","София","Лозенец","ДГ №19","детска градина","детска градина","Общинско"
"София-град","Столична","София","Лозенец","ДГ №111""КОРАБЧЕ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Лозенец","ДГ № 192 ""ЛОЗИЧКА""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Лозенец","ДГ№193 ""Славейче""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Лозенец","ДГ №141","детска градина","детска градина","Общинско"
